timestamp,scrapeid,type,rank,title,source,publishedDate,timeSince,description,url
Sun Apr 29 14:55:39 2018,3,Top Trends,1,Migrant Caravan Prepares to Cross Border to Seek Asylum,NBC LA,"Sunday, April 29, 2018 at 12:00pm",2 hours ago,A group of demonstrators marched from Balboa Park to Chicano Park on Saturday to show solidarity with the migrant caravan that has made its…,https://www.nbclosangeles.com/news/politics/Migrant-Caravan-Supporters-Rally-in-San-Diego-481156621.html
Sun Apr 29 14:55:39 2018,3,Top Trends,2,Border Patrol: Members of caravan illegally entered…,Fox News,None,None,None,http://video.foxnews.com/v/5778132022001/
Sun Apr 29 14:55:39 2018,3,Top Trends,3,Migrant caravan prepares to reach the US-Mexico…,MSN,None,None,None,https://www.msn.com/en-us/news/us/migrant-caravan-prepares-to-reach-the-us-mexico-border-this-afternoon/ar-AAwvgki
Sun Apr 29 14:55:39 2018,3,Top Trends,4,Caravan asylum-seekers heading toward…,Fox News,None,None,None,http://www.foxnews.com/us/2018/04/29/caravan-asylum-seekers-heading-toward-showdown-on-us-border.html
Sun Apr 29 14:55:39 2018,3,Top Trends,5,"Caravan of Migrants, After Arduous Trip, Begins…",The New York Times,None,None,None,https://www.nytimes.com/2018/04/29/world/americas/mexico-caravan-trump.html
Sun Apr 29 14:55:39 2018,3,Top Trends,6,"Central Americans in migrant ""caravan"" face…",CBS News,None,None,None,https://www.cbsnews.com/news/central-americans-in-migrant-caravan-face-risks-by-seeking-asylum-at-southern-border/
Sun Apr 29 14:55:39 2018,3,Top Trends,7,Caravan of migrants reach US border - CNN Video,CNN,None,None,None,https://www.cnn.com/videos/us/2018/04/29/migrant-caravan-arrival-us-border-santiago-nr.cnn
Sun Apr 29 14:55:39 2018,3,Top Trends,8,Buses carrying Central American migrants roll to…,Fox News,None,None,None,http://www.foxnews.com/us/2018/04/29/buses-carrying-central-american-migrants-roll-to-us-border.html
Sun Apr 29 14:55:39 2018,3,Top Trends,9,Some Refugees 'Associated With' Caravan Illegally…,www.dailywire.com,None,None,None,https://www.dailywire.com/news/30009/some-refugees-associated-caravan-illegally-cross-joseph-curl
Sun Apr 29 14:55:39 2018,3,Top Trends,10,Central Americans will seek asylum at southern US…,KUTV 2News,None,None,None,http://kutv.com/news/nation-world/central-americans-will-seek-asylum-at-southern-us-border
Sun Apr 29 14:55:39 2018,3,Top Trends,1,Suspect in deputy killing held in maximum security prison,The Providence Journal,"Sunday, April 29, 2018 at 9:21am",5 hours ago,"NORRIDGEWOCK, Maine (AP) — Officials say the man accused of killing a Maine sheriff's deputy is being held in the state's maximum security…",http://www.providencejournal.com/news/20180429/suspect-in-deputy-killing-held-in-maximum-security-prison
Sun Apr 29 14:55:39 2018,3,Top Trends,2,Suspect in killing of Maine sheriff’s deputy held in…,7News - WHDH Boston,None,None,None,http://whdh.com/news/suspect-in-killing-of-maine-sheriffs-deputy-held-in-maximum-security-prison/
Sun Apr 29 14:55:39 2018,3,Top Trends,3,Authorities used handcuffs of slain Maine sheriff's…,MassLive.com,None,None,None,http://www.masslive.com/news/index.ssf/2018/04/authorities_used_handcuffs_of.html
Sun Apr 29 14:55:39 2018,3,Top Trends,4,Man accused of killing Maine police officer arrested,NBC2 News,None,None,None,http://www.nbc-2.com/story/38068248/man-accused-of-killing-maine-police-officer-arrested
Sun Apr 29 14:55:39 2018,3,Top Trends,5,Accused cop-killer John Williams caught; dead…,crimewatchdaily.com,None,None,None,https://crimewatchdaily.com/2018/04/29/accused-cop-killer-john-williams-caught-dead-officers-handcuffs-used-in-arrest/
Sun Apr 29 14:55:39 2018,3,Top Trends,6,Slain Maine deputy's handcuffs used to arrest…,PoliceOne.com,None,None,None,https://www.policeone.com/officer-shootings/articles/474209006-Slain-Maine-deputys-handcuffs-used-to-arrest-his-suspected-killer/
Sun Apr 29 14:55:39 2018,3,Top Trends,7,Suspect in killing of Maine sheriff's deputy now in…,ABC7NY,None,None,None,http://abc7ny.com/3406143/
Sun Apr 29 14:55:39 2018,3,Top Trends,8,"Community reflects on Cpl. Cole's life, after suspect's…",WMTW-TV,None,None,None,http://www.wmtw.com/article/community-reflects-on-cpl-coles-life-after-suspects-capture-returns-calm/20095849
Sun Apr 29 14:55:39 2018,3,Top Trends,1,T-Mobile agrees to acquire Sprint,MSN,"Sunday, April 29, 2018 at 11:37am",3 hours ago,"T-Mobile US Inc agreed on Sunday to acquire peer Sprint Corp, in an all-stock deal that will combine the third and fourth largest U.S. wireless…",https://www.msn.com/en-us/money/companies/t-mobile-agrees-to-acquire-sprint/ar-AAwvbdU
Sun Apr 29 14:55:39 2018,3,Top Trends,2,T-Mobile Seals Blockbuster Sprint Merger Deal,NBC LA,None,None,None,https://www.nbclosangeles.com/news/business/T-Mobile-Sprint-Seal-Merger-Deal-Company-Value-481184031.html
Sun Apr 29 14:55:39 2018,3,Top Trends,3,"Sprint and T-Mobile Agree to Merge, in Bid to Remake…",The New York Times,None,None,None,https://www.nytimes.com/2018/04/29/business/dealbook/sprint-tmobile-deal.html
Sun Apr 29 14:55:39 2018,3,Top Trends,4,"Sprint, T-Mobile Agree to $26 Billion Merger",The Wall Street Journal,None,None,None,https://www.wsj.com/articles/sprint-t-mobile-boards-vote-to-approve-all-stock-merger-1525017644
Sun Apr 29 14:55:39 2018,3,Top Trends,5,"Sprint, T-Mobile to combine, companies announce",ABC7,None,None,None,http://abc7.com/3406140/
Sun Apr 29 14:55:39 2018,3,Top Trends,6,"T-Mobile, Sprint say $26 billion deal would give…",Reuters,None,None,None,https://www.reuters.com/article/us-sprint-corp-m-a-t-mobile-us/t-mobile-agrees-to-acquire-sprint-idUSKBN1I00PH
Sun Apr 29 14:55:39 2018,3,Top Trends,7,"T-Mobile, Sprint will finally get hitched in $26B mega…",CNET,None,None,None,https://www.cnet.com/news/t-mobile-sprint-will-finally-get-hitched-in-26b-mega-mobile-deal/
Sun Apr 29 14:55:39 2018,3,Top Trends,8,"Sprint and T-Mobile to combine, leaving U.S. with…",NBC News,None,None,None,https://www.nbcnews.com/news/us-news/sprint-t-mobile-combine-deal-could-reshape-u-s-wireless-n869916
Sun Apr 29 14:55:39 2018,3,Top Trends,9,T-Mobile to Buy Sprint for $26.5 Billion in Bet on…,Bloomberg,None,None,None,https://www.bloomberg.com/news/articles/2018-04-29/sprint-t-mobile-in-26-5-billion-deal-to-take-on-at-t-verizon
Sun Apr 29 14:55:39 2018,3,Top Trends,10,"T-Mobile and Sprint agree to merge, finally",CNNMoney,None,None,None,http://money.cnn.com/2018/04/29/news/companies/t-mobile-sprint-merger/index.html
Sun Apr 29 14:55:39 2018,3,Top Trends,1,Lewis Hamilton wins Azerbaijan Grand Prix after Red Bulls crash,BBC News,"Sunday, April 29, 2018 at 8:58am",5 hours ago,"Lewis Hamilton wins after a madcap finish to a chaotic, incident-strewn Azerbaijan Grand Prix in which the Red Bulls collided with each other.",https://www.bbc.com/sport/formula1/43941986
Sun Apr 29 14:55:39 2018,3,Top Trends,2,Lewis Hamilton wins chaotic Azerbaijan Grand Prix as…,The Guardian,None,None,None,https://www.theguardian.com/sport/live/2018/apr/29/azerbaijan-grand-prix-f1-formula-one-live
Sun Apr 29 14:55:39 2018,3,Top Trends,3,Lewis Hamilton wins Azerbaijan Grand Prix…,BBC Sport,None,None,None,https://www.bbc.co.uk/sport/formula1/43941986
Sun Apr 29 14:55:39 2018,3,Top Trends,4,"Ricciardo, Verstappen reprimanded for Baku crash",www.motorsport.com,None,None,None,https://www.motorsport.com/f1/news/ricciardo-verstapen-reprimanded-for-baku-crash-1031835/
Sun Apr 29 14:55:39 2018,3,Top Trends,5,Verstappen and Ricciardo ordered to apologise to…,www.autosport.com,None,None,None,https://www.autosport.com/f1/news/135686/red-bull-drivers-ordered-to-make-factory-apology
